iter	RMSE
349	1660.268051
350	1659.023266
351	1658.414787
352	1657.507171
353	1656.733594
354	1655.857972
355	1655.189914
356	1651.360384
357	1650.180372
358	1649.381017
359	1648.829741
360	1647.530812
361	1646.423693
362	1644.888537
363	1644.237453
364	1643.313409
365	1640.2025
366	1639.280636
367	1638.726259
368	1637.963485
369	1636.726076
370	1636.148205
371	1635.098908
372	1634.091729
373	1632.662075
374	1631.637888
375	1631.05345
376	1629.439517
377	1627.774343
378	1626.981421
379	1626.419715
380	1625.633228
381	1623.056452
382	1622.638409
383	1620.122999
384	1619.206074
385	1618.099579
386	1617.214934
387	1616.274986
388	1615.634008
389	1614.558967
390	1613.784992
391	1613.115425
392	1612.015299
393	1611.052572
394	1610.496204
395	1609.655202
396	1608.863172
397	1608.015261
398	1606.6378
399	1605.405465
400	1604.627911
401	1603.741716
402	1602.829754
403	1602.291014
404	1601.311367
405	1600.43087
406	1599.683581
407	1598.631933
408	1597.737511
409	1597.117282
410	1596.036387
411	1595.354021
412	1594.68484
413	1593.611598
414	1592.814654
415	1589.502874
416	1588.808409
417	1588.219284
418	1587.26254
419	1586.773915
420	1585.244293
421	1584.575666
422	1584.101561
423	1583.523767
424	1582.288485
425	1581.628782
426	1581.063717
427	1580.652761
428	1580.086967
429	1579.284414
430	1578.780513
431	1578.328812
432	1577.636124
433	1576.781802
434	1575.2449
435	1573.909691
436	1573.559654
437	1572.914826
438	1572.256173
439	1571.699935
440	1570.463633
441	1568.890967
442	1568.477574
443	1567.744045
444	1566.823266
445	1566.036544
446	1565.164974
447	1564.169391
448	1561.430018
449	1560.578377
450	1559.932144
451	1559.349986
452	1558.932536
453	1558.059348
454	1557.436784
455	1556.655832
456	1556.303373
457	1555.502971
458	1554.906305
459	1553.085673
460	1552.756374
461	1552.443354
462	1551.987538
463	1551.115167
464	1550.576694
465	1549.951467
466	1548.486119
467	1547.743773
468	1546.982119
469	1546.647587
470	1545.123699
471	1543.910314
472	1543.340802
473	1542.740288
474	1542.083987
475	1541.653812
476	1541.331612
477	1540.11402
478	1539.397566
479	1539.075152
480	1538.561367
481	1537.796892
482	1537.087644
483	1536.119604
484	1535.542368
485	1534.817041
486	1534.517935
487	1533.496927
488	1533.034788
489	1532.466123
490	1531.482797
491	1530.953457
492	1530.510159
493	1530.205567
494	1529.190792
495	1528.643519
496	1528.033863
497	1527.280747
498	1526.762429
499	1526.111175
